CiD,State,MM,YYYY,DD,T,CT,BusI,RTruckI,ATruckI,SLimit,RoadU,G,A
20051028,NSW,June,2005,Saturday,18:25,Multiple vehicle,No,No,Yes,100,Driver,Male,23
20051033,NSW,June,2005,Friday,21:30,Single vehicle,No,No,No,110,Driver,Female,27
20051064,NSW,June,2005,Sunday,20:50,Multiple vehicle,No,No,No,70,Motorcycle rider,Male,67
20051072,NSW,June,2005,Monday,13:50,Multiple vehicle,Yes,No,No,90,Driver,Male,48
20051072,NSW,June,2005,Monday,13:50,Multiple vehicle,Yes,No,No,90,Passenger,Female,57
20051072,NSW,June,2005,Monday,13:50,Multiple vehicle,Yes,No,No,90,Passenger,Female,77
20051072,NSW,June,2005,Monday,13:50,Multiple vehicle,Yes,No,No,90,Passenger,Male,16
20051083,NSW,June,2005,Saturday,19:00,Single vehicle,No,No,No,100,Driver,Male,20
20051095,NSW,June,2005,Friday,10:30,Multiple vehicle,No,Yes,No,90,Driver,Male,87
20051097,NSW,June,2005,Friday,18:00,Multiple vehicle,No,No,No,50,Passenger,Male,53
20051101,NSW,June,2005,Tuesday,18:10,Pedestrian,No,No,Yes,100,Pedestrian,Male,61
20051117,NSW,June,2005,Sunday,3:30,Single vehicle,No,No,No,110,Driver,Male,24
20051117,NSW,June,2005,Sunday,3:30,Single vehicle,No,No,No,110,Passenger,Female,25
20051126,NSW,June,2005,Monday,6:30,Multiple vehicle,No,No,No,80,Driver,Female,76
20051127,NSW,June,2005,Saturday,6:09,Pedestrian,No,No,No,60,Pedestrian,Male,69
20051128,NSW,June,2005,Monday,14:55,Multiple vehicle,No,No,Yes,80,Passenger,Female,0
20051161,NSW,June,2005,Thursday,13:00,Single vehicle,No,No,No,110,Passenger,Male,69
20051212,NSW,June,2005,Friday,15:55,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,23
20051229,NSW,June,2005,Monday,21:55,Single vehicle,No,No,No,50,Driver,Male,33
20051237,NSW,June,2005,Wednesday,20:06,Multiple vehicle,No,No,No,100,Driver,Male,44
20051251,NSW,June,2005,Wednesday,7:30,Multiple vehicle,No,Yes,Yes,110,Driver,Male,40
20051251,NSW,June,2005,Wednesday,7:30,Multiple vehicle,No,Yes,Yes,110,Passenger,Female,23
20051255,NSW,June,2005,Saturday,17:15,Multiple vehicle,No,No,No,80,Driver,Male,71
20051267,NSW,June,2005,Thursday,18:00,Single vehicle,No,No,No,110,Driver,Male,45
20051279,NSW,June,2005,Saturday,0:14,Single vehicle,No,No,No,70,Driver,Female,43
20051282,NSW,June,2005,Monday,10:18,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,27
20051287,NSW,June,2005,Sunday,13:45,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,39
20051305,NSW,June,2005,Friday,11:40,Multiple vehicle,No,No,Yes,90,Driver,Male,26
20051320,NSW,June,2005,Thursday,11:40,Pedestrian,No,No,No,50,Pedestrian,Female,83
20051348,NSW,June,2005,Friday,1:50,Single vehicle,No,No,No,60,Driver,Male,25
20051355,NSW,June,2005,Tuesday,18:20,Multiple vehicle,No,No,No,80,Bicyclist (includes pillion passengers),Male,16
20051372,NSW,June,2005,Monday,16:40,Single vehicle,Yes,No,No,50,Passenger,Female,80
20051401,NSW,June,2005,Friday,13:00,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,58
20051409,NSW,June,2005,Friday,15:30,Pedestrian,No,No,No,50,Pedestrian,Male,73
20051411,NSW,June,2005,Sunday,17:30,Multiple vehicle,No,No,No,100,Passenger,Male,83
20051436,NSW,June,2005,Thursday,5:50,Pedestrian,No,No,No,70,Pedestrian,Male,50
20051448,NSW,June,2005,Thursday,15:15,Multiple vehicle,No,No,Yes,90,Driver,Male,74
20051448,NSW,June,2005,Thursday,15:15,Multiple vehicle,No,No,Yes,90,Passenger,Female,69
20051459,NSW,June,2005,Saturday,10:25,Multiple vehicle,No,No,No,100,Driver,Male,49
20052070,VIC,June,2005,Tuesday,7:00,Multiple vehicle,No,No,No,80,Driver,Male,27
20052070,VIC,June,2005,Tuesday,7:00,Multiple vehicle,No,No,No,80,Driver,Male,57
20052071,VIC,June,2005,Friday,11:55,Multiple vehicle,No,Yes,No,80,Driver,Female,50
20052093,VIC,June,2005,Saturday,16:35,Single vehicle,No,No,No,60,Motorcycle rider,Male,24
20052097,VIC,June,2005,Sunday,10:05,Multiple vehicle,No,No,No,90,Driver,Male,26
20052097,VIC,June,2005,Sunday,10:05,Multiple vehicle,No,No,No,90,Passenger,Female,85
20052097,VIC,June,2005,Sunday,10:05,Multiple vehicle,No,No,No,90,Driver,Female,61
20052111,VIC,June,2005,Tuesday,12:50,Multiple vehicle,No,No,Yes,100,Driver,Male,24
20052119,VIC,June,2005,Tuesday,18:18,Pedestrian,No,No,No,90,Pedestrian,Male,76
20052126,VIC,June,2005,Friday,7:55,Multiple vehicle,No,Yes,No,100,Driver,Male,76
20052133,VIC,June,2005,Thursday,10:10,Pedestrian,No,No,No,60,Pedestrian,Female,63
20052156,VIC,June,2005,Tuesday,6:50,Multiple vehicle,No,Yes,No,100,Driver,Male,57
20052176,VIC,June,2005,Monday,22:30,Single vehicle,No,No,No,60,Motorcycle rider,Male,29
20052206,VIC,June,2005,Tuesday,8:35,Multiple vehicle,No,No,No,100,Passenger,Male,85
20052219,VIC,June,2005,Tuesday,15:15,Pedestrian,No,No,No,60,Pedestrian,Male,84
20052222,VIC,June,2005,Friday,11:50,Pedestrian,No,No,No,60,Pedestrian,Male,74
20052224,VIC,June,2005,Tuesday,19:25,Single vehicle,No,No,No,50,Driver,Male,30
20052236,VIC,June,2005,Friday,23:45,Multiple vehicle,No,No,Yes,100,Driver,Male,33
20052245,VIC,June,2005,Monday,17:25,Multiple vehicle,No,No,Yes,110,Driver,Male,46
20052255,VIC,June,2005,Wednesday,13:30,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,59
20052256,VIC,June,2005,Thursday,16:00,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,24
20052263,VIC,June,2005,Friday,17:50,Pedestrian,No,No,No,60,Pedestrian,Female,81
20052278,VIC,June,2005,Saturday,18:20,Multiple vehicle,No,Yes,No,80,Passenger,Female,46
20053011,QLD,June,2005,Monday,7:00,Multiple vehicle,No,No,No,100,Driver,Male,47
20053013,QLD,June,2005,Thursday,18:00,Single vehicle,No,No,No,100,Driver,Male,73
20053034,QLD,June,2005,Tuesday,7:00,Multiple vehicle,No,No,No,60,Driver,Male,91
20053036,QLD,June,2005,Saturday,9:00,Single vehicle,No,No,No,100,Motorcycle rider,Male,41
20053045,QLD,June,2005,Saturday,9:00,Multiple vehicle,No,No,No,80,Motorcycle rider,Male,49
20053062,QLD,June,2005,Saturday,3:00,Single vehicle,No,No,No,100,Driver,Male,25
20053071,QLD,June,2005,Saturday,5:00,Pedestrian,No,No,No,70,Pedestrian,Male,29
20053071,QLD,June,2005,Saturday,5:00,Pedestrian,No,No,No,70,Pedestrian,Male,25
20053101,QLD,June,2005,Sunday,8:00,Single vehicle,No,No,No,100,Passenger,Female,25
20053103,QLD,June,2005,Monday,10:00,Multiple vehicle,No,No,No,100,Driver,Male,50
20053103,QLD,June,2005,Monday,10:00,Multiple vehicle,No,No,No,100,Passenger,Female,54
20053107,QLD,June,2005,Saturday,10:00,Single vehicle,No,No,No,80,Motorcycle rider,Male,31
20053109,QLD,June,2005,Wednesday,19:00,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,27
20053123,QLD,June,2005,Friday,17:00,Multiple vehicle,No,No,No,100,Passenger,Male,3
20053148,QLD,June,2005,Thursday,0:00,Single vehicle,No,No,No,60,Driver,Male,25
20053148,QLD,June,2005,Thursday,0:00,Single vehicle,No,No,No,60,Passenger,Female,21
20053152,QLD,June,2005,Saturday,8:00,Single vehicle,No,No,No,80,Driver,Female,59
20053165,QLD,June,2005,Tuesday,11:00,Pedestrian,No,No,Yes,50,Pedestrian,Male,56
20053175,QLD,June,2005,Saturday,12:00,Single vehicle,No,No,No,100,Motorcycle rider,Male,57
20053188,QLD,June,2005,Tuesday,18:00,Single vehicle,No,No,No,100,Motorcycle rider,Male,35
20053206,QLD,June,2005,Monday,11:00,Single vehicle,No,No,Yes,60,Driver,Male,42
20053211,QLD,June,2005,Tuesday,8:00,Multiple vehicle,No,No,Yes,100,Driver,Female,18
20053254,QLD,June,2005,Tuesday,14:00,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,89
20053262,QLD,June,2005,Sunday,5:00,Pedestrian,No,No,No,60,Pedestrian,Male,31
20053269,QLD,June,2005,Sunday,13:00,Single vehicle,No,No,No,100,Driver,Female,51
20053285,QLD,June,2005,Thursday,15:00,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,76
20053286,QLD,June,2005,Thursday,9:00,Single vehicle,No,No,No,60,Motorcycle rider,Male,23
20053294,QLD,June,2005,Tuesday,3:00,Single vehicle,No,No,No,50,Driver,Male,81
20053294,QLD,June,2005,Tuesday,3:00,Single vehicle,No,No,No,50,Passenger,Female,82
20054002,SA,June,2005,Thursday,14:30,Multiple vehicle,No,No,No,90,Passenger,Female,77
20054008,SA,June,2005,Sunday,17:00,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,49
20054019,SA,June,2005,Thursday,16:10,Pedestrian,No,No,No,80,Pedestrian,Male,20
20054024,SA,June,2005,Sunday,19:30,Single vehicle,No,No,No,100,Driver,Male,19
20054062,SA,June,2005,Monday,9:48,Pedestrian,No,No,No,50,Pedestrian,Female,81
20054073,SA,June,2005,Friday,15:46,Single vehicle,No,No,No,60,Driver,Male,18
20054084,SA,June,2005,Saturday,15:15,Single vehicle,No,No,No,110,Driver,Male,43
20055020,WA,June,2005,Sunday,21:30,Single vehicle,No,No,No,110,Driver,Female,32
20055058,WA,June,2005,Sunday,20:30,Single vehicle,No,No,No,60,Driver,Male,24
20055063,WA,June,2005,Friday,0:05,Pedestrian,No,No,No,110,Pedestrian,Female,37
20055074,WA,June,2005,Thursday,7:40,Multiple vehicle,No,No,Yes,110,Driver,Male,17
20055088,WA,June,2005,Thursday,6:10,Multiple vehicle,No,No,No,90,Motorcycle rider,Male,61
20055093,WA,June,2005,Friday,8:00,Single vehicle,No,No,No,110,Passenger,Male,9
20055102,WA,June,2005,Friday,15:20,Multiple vehicle,No,No,No,60,Driver,Male,61
20056006,TAS,June,2005,Sunday,23:00,Single vehicle,No,No,No,70,Passenger,Male,46
20056011,TAS,June,2005,Friday,17:55,Single vehicle,No,No,No,50,Bicyclist (includes pillion passengers),Female,83
20056012,TAS,June,2005,Sunday,23:00,Single vehicle,No,No,No,100,Driver,Male,22
20056014,TAS,June,2005,Sunday,15:25,Single vehicle,No,No,No,100,Bicyclist (includes pillion passengers),Male,4
20056023,TAS,June,2005,Sunday,15:40,Multiple vehicle,No,No,No,50,Passenger,Male,88
20056028,TAS,June,2005,Saturday,14:10,Multiple vehicle,No,No,Yes,110,Driver,Female,52
20056043,TAS,June,2005,Thursday,22:13,Single vehicle,No,No,No,80,Driver,Male,56
20056045,TAS,June,2005,Thursday,19:12,Multiple vehicle,No,No,No,100,Driver,Male,56
20056049,TAS,June,2005,Thursday,20:40,Multiple vehicle,No,No,No,100,Passenger,Female,59
20057012,NT,June,2005,Saturday,8:00,Single vehicle,No,No,No,900,Passenger,Female,40
20057014,NT,June,2005,Sunday,17:10,Multiple vehicle,No,No,No,60,Driver,Male,32
20057018,NT,June,2005,Friday,9:15,Single vehicle,No,No,No,100,Driver,Male,55
20057018,NT,June,2005,Friday,9:15,Single vehicle,No,No,No,100,Passenger,Female,32
20057026,NT,June,2005,Friday,20:58,Single vehicle,No,No,No,60,Bicyclist (includes pillion passengers),Female,11
20057029,NT,June,2005,Friday,17:00,Single vehicle,No,No,No,900,Passenger,Male,17
20057051,NT,June,2005,Sunday,14:30,Single vehicle,No,No,No,900,Passenger,Female,2
20051003,NSW,May,2005,Wednesday,14:58,Pedestrian,No,No,No,60,Pedestrian,Male,88
20051008,NSW,May,2005,Monday,15:22,Multiple vehicle,No,No,No,100,Driver,Male,81
20051019,NSW,May,2005,Sunday,16:30,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,33
20051021,NSW,May,2005,Saturday,19:50,Pedestrian,No,No,No,60,Pedestrian,Female,73
20051039,NSW,May,2005,Sunday,7:55,Multiple vehicle,No,No,No,60,Bicyclist (includes pillion passengers),Male,55
20051044,NSW,May,2005,Tuesday,15:05,Multiple vehicle,No,No,No,100,Driver,Male,67
20051056,NSW,May,2005,Tuesday,11:20,Multiple vehicle,No,No,No,100,Driver,Male,21
20051058,NSW,May,2005,Sunday,20:40,Single vehicle,No,No,No,100,Driver,Male,23
20051069,NSW,May,2005,Friday,15:00,Multiple vehicle,No,Yes,No,70,Driver,Male,40
20051071,NSW,May,2005,Saturday,17:40,Single vehicle,No,No,No,70,Motorcycle rider,Male,84
20051093,NSW,May,2005,Sunday,17:45,Multiple vehicle,No,Yes,No,80,Motorcycle pillion passenger,Female,15
20051105,NSW,May,2005,Wednesday,1:25,Single vehicle,No,No,Yes,100,Driver,Male,28
20051110,NSW,May,2005,Sunday,4:20,Single vehicle,No,No,No,90,Driver,Male,29
20051123,NSW,May,2005,Wednesday,12:31,Pedestrian,No,No,No,50,Pedestrian,Male,72
20051145,NSW,May,2005,Thursday,8:50,Pedestrian,No,No,No,60,Pedestrian,Male,67
20051154,NSW,May,2005,Monday,14:15,Pedestrian,No,No,No,100,Pedestrian,Female,16
20051164,NSW,May,2005,Friday,10:15,Single vehicle,No,No,No,110,Driver,Female,29
20051165,NSW,May,2005,Saturday,14:50,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,26
20051168,NSW,May,2005,Thursday,18:35,Multiple vehicle,No,No,Yes,80,Driver,Male,18
20051168,NSW,May,2005,Thursday,18:35,Multiple vehicle,No,No,Yes,80,Passenger,Male,19
20051169,NSW,May,2005,Monday,15:50,Single vehicle,No,No,No,60,Driver,Female,71
20051174,NSW,May,2005,Friday,22:06,Pedestrian,No,No,No,60,Pedestrian,Female,71
20051179,NSW,May,2005,Monday,13:00,Single vehicle,No,No,No,50,Passenger,Female,85
20051182,NSW,May,2005,Thursday,10:30,Single vehicle,No,No,No,100,Driver,Male,45
20051214,NSW,May,2005,Saturday,22:45,Single vehicle,No,No,No,110,Driver,Male,42
20051215,NSW,May,2005,Saturday,0:15,Multiple vehicle,No,No,No,80,Driver,Male,64
20051219,NSW,May,2005,Saturday,8:30,Single vehicle,No,No,No,90,Driver,Female,37
20051225,NSW,May,2005,Tuesday,15:43,Single vehicle,Yes,No,No,110,Passenger,Female,65
20051225,NSW,May,2005,Tuesday,15:43,Single vehicle,Yes,No,No,110,Passenger,Female,82
20051226,NSW,May,2005,Friday,20:15,Multiple vehicle,No,No,Yes,70,Driver,Male,24
20051239,NSW,May,2005,Tuesday,23:50,Single vehicle,No,No,No,100,Driver,Male,35
20051262,NSW,May,2005,Wednesday,10:00,Multiple vehicle,No,No,No,80,Passenger,Female,1
20051273,NSW,May,2005,Wednesday,17:50,Pedestrian,No,No,No,40,Pedestrian,Female,34
20051277,NSW,May,2005,Sunday,3:10,Single vehicle,No,No,No,100,Passenger,Male,17
20051311,NSW,May,2005,Tuesday,21:25,Multiple vehicle,No,No,No,50,Motorcycle rider,Male,24
20051324,NSW,May,2005,Sunday,11:55,Single vehicle,No,No,No,100,Driver,Male,78
20051330,NSW,May,2005,Thursday,2:45,Single vehicle,No,No,No,60,Motorcycle rider,Male,20
20051333,NSW,May,2005,Tuesday,23:30,Pedestrian,No,No,No,100,Pedestrian,Male,43
20051334,NSW,May,2005,Sunday,4:15,Single vehicle,No,No,No,60,Driver,Male,21
20051339,NSW,May,2005,Friday,4:40,Pedestrian,No,No,No,50,Pedestrian,Female,44
20051354,NSW,May,2005,Sunday,17:30,Multiple vehicle,No,No,No,90,Motorcycle rider,Male,31
20051356,NSW,May,2005,Monday,2:30,Single vehicle,No,No,No,100,Driver,Male,41
20051376,NSW,May,2005,Friday,21:55,Single vehicle,No,No,No,80,Driver,Male,27
20051380,NSW,May,2005,Friday,8:10,Multiple vehicle,No,No,No,100,Driver,Male,44
20051380,NSW,May,2005,Friday,8:10,Multiple vehicle,No,No,No,100,Passenger,Male,14
20051381,NSW,May,2005,Saturday,3:00,Single vehicle,No,No,No,100,Driver,Male,24
20051385,NSW,May,2005,Saturday,22:50,Single vehicle,No,No,No,90,Passenger,Female,23
20051389,NSW,May,2005,Saturday,13:00,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,18
20051389,NSW,May,2005,Saturday,13:00,Multiple vehicle,No,No,No,100,Motorcycle rider,Male,22
20051392,NSW,May,2005,Friday,23:45,Pedestrian,No,No,No,60,Pedestrian,Male,43
20051393,NSW,May,2005,Monday,19:54,Multiple vehicle,No,No,No,80,Driver,Female,39
20051403,NSW,May,2005,Wednesday,2:30,Pedestrian,No,No,No,100,Pedestrian,Male,18
20051406,NSW,May,2005,Thursday,4:00,Multiple vehicle,No,No,Yes,100,Driver,Male,54
20051414,NSW,May,2005,Sunday,11:15,Multiple vehicle,No,No,No,100,Driver,Female,76
20051417,NSW,May,2005,Friday,22:30,Single vehicle,No,No,No,80,Driver,Male,74
20051425,NSW,May,2005,Sunday,3:10,Single vehicle,No,No,No,60,Driver,Male,25
20052047,VIC,May,2005,Wednesday,17:00,Multiple vehicle,No,Yes,No,70,Passenger,Female,91
20052051,VIC,May,2005,Sunday,2:30,Single vehicle,No,No,No,100,Driver,Male,21
20052063,VIC,May,2005,Sunday,2:50,Multiple vehicle,No,No,No,60,Passenger,Female,18
20052077,VIC,May,2005,Saturday,23:30,Single vehicle,No,No,No,110,Driver,Male,35
20052082,VIC,May,2005,Friday,8:50,Multiple vehicle,No,No,No,100,Driver,Female,38
20052083,VIC,May,2005,Sunday,12:15,Single vehicle,No,No,No,100,Motorcycle rider,Male,66
20052086,VIC,May,2005,Sunday,18:07,Single vehicle,No,No,No,90,Motorcycle rider,Male,33
20052088,VIC,May,2005,Saturday,11:05,Multiple vehicle,No,No,No,80,Passenger,Male,79
20052088,VIC,May,2005,Saturday,11:05,Multiple vehicle,No,No,No,80,Passenger,Female,77
20052089,VIC,May,2005,Saturday,9:20,Pedestrian,No,No,No,80,Pedestrian,Female,77
20052105,VIC,May,2005,Friday,23:35,Single vehicle,No,No,No,50,Passenger,Male,47
20052109,VIC,May,2005,Saturday,3:38,Single vehicle,No,No,No,100,Driver,Female,21
20052112,VIC,May,2005,Friday,23:35,Single vehicle,No,No,No,50,Driver,Male,21
20052115,VIC,May,2005,Sunday,13:45,Multiple vehicle,No,No,No,60,Motorcycle rider,Female,39
20052116,VIC,May,2005,Thursday,2:30,Pedestrian,No,No,No,80,Pedestrian,Female,18
20052148,VIC,May,2005,Wednesday,23:25,Single vehicle,No,No,No,60,Driver,Male,22
20052151,VIC,May,2005,Wednesday,20:05,Multiple vehicle,No,No,No,80,Motorcycle rider,Male,37
20052183,VIC,May,2005,Thursday,11:29,Multiple vehicle,No,No,No,60,Driver,Male,68
20052217,VIC,May,2005,Sunday,2:00,Multiple vehicle,No,No,No,80,Passenger,Female,60
20052228,VIC,May,2005,Tuesday,20:30,Single vehicle,No,No,No,100,Driver,Male,51
20052254,VIC,May,2005,Sunday,2:00,Single vehicle,No,No,No,100,Motorcycle rider,Male,22
20052261,VIC,May,2005,Saturday,0:02,Multiple vehicle,No,No,No,60,Passenger,Male,22
20052262,VIC,May,2005,Sunday,0:55,Pedestrian,No,No,No,100,Pedestrian,Male,56
20052262,VIC,May,2005,Sunday,0:55,Pedestrian,No,No,No,100,Pedestrian,Female,40
20052282,VIC,May,2005,Thursday,13:10,Single vehicle,No,No,No,100,Driver,Male,82
20052288,VIC,May,2005,Monday,10:28,Multiple vehicle,No,No,No,80,Driver,Female,53
20052295,VIC,May,2005,Tuesday,18:30,Multiple vehicle,No,No,No,100,Driver,Male,25
20052296,VIC,May,2005,Tuesday,18:35,Multiple vehicle,No,No,Yes,100,Driver,Male,28
20052304,VIC,May,2005,Sunday,16:40,Single vehicle,No,No,No,80,Driver,Female,51
20053022,QLD,May,2005,Wednesday,10:00,Single vehicle,No,No,No,60,Motorcycle rider,Male,17
20053030,QLD,May,2005,Monday,14:00,Multiple vehicle,No,No,No,100,Driver,Female,66
20053053,QLD,May,2005,Sunday,10:00,Multiple vehicle,No,No,No,60,Motorcycle rider,Male,36
20053102,QLD,May,2005,Thursday,7:00,Multiple vehicle,Yes,No,No,60,Driver,Male,45
20053120,QLD,May,2005,Thursday,14:00,Multiple vehicle,No,No,No,110,Driver,Female,65
20053122,QLD,May,2005,Sunday,18:00,Pedestrian,No,No,No,60,Pedestrian,Male,64
20053138,QLD,May,2005,Sunday,21:00,Single vehicle,No,No,No,100,Driver,Male,24
20053144,QLD,May,2005,Tuesday,8:00,Multiple vehicle,No,No,No,60,Driver,Female,66
20053146,QLD,May,2005,Friday,15:00,Multiple vehicle,Yes,No,No,70,Driver,Male,20
20053163,QLD,May,2005,Saturday,4:00,Single vehicle,No,No,No,60,Passenger,Male,18
20053177,QLD,May,2005,Sunday,10:00,Multiple vehicle,No,No,Yes,100,Driver,Male,73
20053183,QLD,May,2005,Saturday,23:00,Multiple vehicle,No,No,No,60,Passenger,Male,15
20053183,QLD,May,2005,Saturday,23:00,Multiple vehicle,No,No,No,60,Passenger,Female,16
20053191,QLD,May,2005,Saturday,15:00,Multiple vehicle,No,No,No,100,Driver,Male,53
20053205,QLD,May,2005,Monday,6:00,Pedestrian,No,No,No,100,Pedestrian,Male,44
20053213,QLD,May,2005,Tuesday,15:00,Multiple vehicle,No,Yes,No,80,Driver,Female,24
20053216,QLD,May,2005,Saturday,2:00,Single vehicle,No,No,Yes,100,Driver,Male,35
20053227,QLD,May,2005,Thursday,12:00,Multiple vehicle,No,Yes,No,60,Driver,Male,85
20053241,QLD,May,2005,Saturday,3:00,Single vehicle,No,No,No,80,Driver,Male,25
20053283,QLD,May,2005,Wednesday,9:00,Multiple vehicle,No,Yes,No,100,Driver,Male,48
20053283,QLD,May,2005,Wednesday,9:00,Multiple vehicle,No,Yes,No,100,Passenger,Female,3
20054001,SA,May,2005,Saturday,10:45,Pedestrian,No,No,No,60,Pedestrian,Female,76
20054004,SA,May,2005,Sunday,2:55,Single vehicle,No,No,No,60,Passenger,Male,26
20054013,SA,May,2005,Monday,10:15,Multiple vehicle,No,No,No,110,Driver,Female,17
20054013,SA,May,2005,Monday,10:15,Multiple vehicle,No,No,No,110,Passenger,Male,17
20054026,SA,May,2005,Sunday,15:35,Single vehicle,No,No,No,110,Passenger,Female,37
20054026,SA,May,2005,Sunday,15:35,Single vehicle,No,No,No,110,Driver,Male,32
20054034,SA,May,2005,Saturday,11:17,Multiple vehicle,No,No,No,50,Driver,Male,39
20054056,SA,May,2005,Saturday,3:05,Single vehicle,No,No,No,60,Driver,Male,19
20054068,SA,May,2005,Sunday,22:35,Multiple vehicle,No,No,No,60,Driver,Male,23
20054088,SA,May,2005,Tuesday,15:05,Single vehicle,No,No,No,110,Driver,Male,25
20054108,SA,May,2005,Saturday,18:30,Single vehicle,No,No,No,50,Driver,Male,73
20054110,SA,May,2005,Friday,18:00,Single vehicle,No,No,No,110,Other,Male,49
20054112,SA,May,2005,Saturday,4:25,Single vehicle,No,No,No,110,Driver,Male,47
20054115,SA,May,2005,Thursday,14:40,Single vehicle,No,No,No,80,Driver,Male,44
20055009,WA,May,2005,Wednesday,15:15,Single vehicle,No,No,No,70,Driver,Male,29
20055032,WA,May,2005,Tuesday,17:45,Multiple vehicle,No,No,No,110,Motorcycle rider,Male,38
20055036,WA,May,2005,Sunday,6:00,Single vehicle,No,No,No,100,Driver,Male,18
20055040,WA,May,2005,Wednesday,6:30,Single vehicle,No,No,No,110,Driver,Male,28
20055051,WA,May,2005,Sunday,15:50,Single vehicle,No,No,No,110,Driver,Male,24
20055054,WA,May,2005,Tuesday,8:00,Multiple vehicle,No,No,Yes,110,Driver,Male,70
20055054,WA,May,2005,Tuesday,8:00,Multiple vehicle,No,No,Yes,110,Passenger,Female,70
20055066,WA,May,2005,Friday,20:26,Multiple vehicle,No,No,No,60,Driver,Male,67
20055071,WA,May,2005,Friday,8:00,Multiple vehicle,No,No,Yes,110,Driver,Male,54
20055076,WA,May,2005,Wednesday,2:00,Single vehicle,No,No,No,50,Passenger,Male,21
20055079,WA,May,2005,Sunday,8:30,Single vehicle,No,No,No,110,Driver,Male,75
20055122,WA,May,2005,Saturday,17:30,Single vehicle,No,No,No,110,Driver,Male,26
20056015,TAS,May,2005,Tuesday,10:57,Multiple vehicle,No,Yes,No,70,Driver,Male,88
20056016,TAS,May,2005,Sunday,19:00,Single vehicle,No,No,No,100,Driver,Male,36
20056029,TAS,May,2005,Saturday,9:30,Multiple vehicle,No,No,No,100,Driver,Male,28
20056030,TAS,May,2005,Thursday,16:50,Single vehicle,No,No,No,100,Passenger,Male,28
20056031,TAS,May,2005,Wednesday,12:48,Multiple vehicle,No,No,Yes,80,Driver,Female,70
20056032,TAS,May,2005,Thursday,16:40,Multiple vehicle,No,No,No,80,Bicyclist (includes pillion passengers),Male,12
20056036,TAS,May,2005,Monday,15:30,Multiple vehicle,No,Yes,No,50,Motorcycle rider,Male,42
20056038,TAS,May,2005,Sunday,17:40,Pedestrian,No,No,No,80,Pedestrian,Male,76
20057025,NT,May,2005,Wednesday,8:53,Single vehicle,No,No,No,900,Passenger,Female,4
20058002,ACT,May,2005,Sunday,15:20,Multiple vehicle,No,No,No,-9,Motorcycle rider,Male,35
20058021,ACT,May,2005,Tuesday,11:47,Multiple vehicle,No,No,No,-9,Driver,Female,84
20058023,ACT,May,2005,Tuesday,17:30,Pedestrian,No,No,No,-9,Pedestrian,Female,40
20051045,NSW,April,2005,Thursday,18:15,Pedestrian,No,No,No,60,Pedestrian,Male,87
20051046,NSW,April,2005,Wednesday,7:30,Pedestrian,No,No,No,100,Pedestrian,Female,75
20051054,NSW,April,2005,Tuesday,8:00,Pedestrian,Yes,No,No,60,Pedestrian,Male,74
20051075,NSW,April,2005,Sunday,18:05,Single vehicle,No,No,No,60,Motorcycle rider,Male,43
20051077,NSW,April,2005,Sunday,14:00,Multiple vehicle,Yes,No,No,80,Driver,Male,82
20051103,NSW,April,2005,Monday,5:00,Single vehicle,No,No,No,110,Driver,Male,37
20051119,NSW,April,2005,Sunday,19:24,Single vehicle,No,No,No,110,Passenger,Female,64
20051120,NSW,April,2005,Monday,0:10,Single vehicle,No,No,No,50,Passenger,Male,22
20051124,NSW,April,2005,Friday,18:40,Pedestrian,No,Yes,No,100,Pedestrian,Female,32
20051130,NSW,April,2005,Friday,4:35,Single vehicle,No,No,No,100,Driver,Male,22
20051136,NSW,April,2005,Friday,10:15,Multiple vehicle,No,No,Yes,60,Driver,Male,22
20051148,NSW,April,2005,Friday,13:54,Multiple vehicle,No,No,Yes,80,Driver,Female,26
20051155,NSW,April,2005,Tuesday,12:50,Multiple vehicle,No,Yes,No,100,Passenger,Female,61
20051163,NSW,April,2005,Saturday,18:10,Single vehicle,No,Yes,No,100,Driver,Male,50
20051166,NSW,April,2005,Thursday,11:00,Single vehicle,No,No,No,80,Driver,Male,31
20051180,NSW,April,2005,Monday,17:52,Single vehicle,No,No,No,60,Driver,Female,36
20051188,NSW,April,2005,Wednesday,5:30,Single vehicle,No,No,No,100,Driver,Male,25
20051203,NSW,April,2005,Tuesday,1:26,Single vehicle,No,No,No,60,Driver,Male,57
20051213,NSW,April,2005,Monday,12:55,Single vehicle,No,No,No,80,Motorcycle rider,Male,26
20051246,NSW,April,2005,Saturday,0:20,Single vehicle,No,No,No,70,Passenger,Male,22
20051270,NSW,April,2005,Tuesday,19:30,Pedestrian,No,No,No,70,Pedestrian,Male,41
